Timestamp,Generation,NumSpecies,AvgFitness,StdFitness,BestFitness,BestApples,BestGenomeSize,BestSpeciesID,GenerationTime
2025-06-17T14:22:07,0,1,0.15000,0.00000,0.15000,0.00000,"(3, 0)",1,0.089
2025-06-17T14:22:07,1,1,0.04090,0.00996,0.05000,0.00000,"(3, 0)",1,0.086
2025-06-17T14:22:07,2,1,0.04270,0.00963,0.05000,0.00000,"(3, 0)",1,0.091
2025-06-17T14:22:07,3,1,0.04915,0.06873,1.01000,0.00000,"(3, 2)",1,0.199
2025-06-17T14:22:08,4,1,0.16398,0.65832,5.71000,0.00000,"(3, 4)",1,0.223
2025-06-17T14:22:08,5,1,0.51055,3.00841,41.16000,7.50000,"(4, 6)",1,0.515
2025-06-17T14:22:09,6,1,1.61225,2.82023,27.72000,5.00000,"(4, 6)",1,0.634
2025-06-17T14:22:09,7,1,1.73135,3.77000,35.81000,6.50000,"(4, 6)",1,0.653
2025-06-17T14:22:11,8,3,3.42345,8.22854,74.17500,13.50000,"(4, 6)",3,1.310
2025-06-17T14:22:12,9,3,2.78472,5.68033,54.94000,10.00000,"(4, 6)",3,0.865
2025-06-17T14:22:12,10,3,2.31232,5.41468,44.38000,8.00000,"(4, 6)",3,0.810
2025-06-17T14:22:14,11,3,3.99345,10.45771,74.30000,13.50000,"(4, 7)",3,1.195
2025-06-17T14:22:15,12,3,6.50827,10.12852,59.08000,10.50000,"(4, 7)",3,1.006
2025-06-17T14:22:16,13,3,3.19050,4.92929,40.94000,7.50000,"(4, 5)",3,0.885
2025-06-17T14:22:17,14,3,2.34865,3.70808,19.89000,3.50000,"(4, 5)",3,0.895
2025-06-17T14:22:18,15,3,2.77340,5.38464,33.62000,6.00000,"(4, 5)",3,0.986
2025-06-17T14:22:19,16,3,4.02633,5.42239,36.07000,6.50000,"(4, 5)",3,1.076
2025-06-17T14:22:20,17,3,4.05082,4.77810,30.24000,5.50000,"(4, 5)",3,0.779
2025-06-17T14:22:21,18,3,5.97747,8.40548,64.99500,12.00000,"(4, 5)",3,1.069
2025-06-17T14:22:22,19,4,2.46075,3.28654,19.39500,3.00000,"(4, 5)",3,0.692
2025-06-17T14:22:22,20,4,4.54560,9.48274,57.40000,10.50000,"(4, 6)",3,0.937
2025-06-17T14:22:24,21,4,5.27392,9.75709,107.85000,20.00000,"(5, 7)",3,1.115
2025-06-17T14:22:25,22,4,5.84532,12.29387,72.53000,13.50000,"(5, 14)",1,1.044
2025-06-17T14:22:26,23,4,4.31042,10.56887,77.15000,14.00000,"(4, 6)",3,1.211
2025-06-17T14:22:27,24,4,6.82623,15.29942,81.76000,15.00000,"(5, 13)",1,1.171
2025-06-17T14:22:28,25,4,7.87993,20.78258,101.65500,19.00000,"(6, 14)",1,1.070
2025-06-17T14:22:30,26,4,10.15890,21.82568,113.34000,21.00000,"(5, 13)",1,1.289
2025-06-17T14:22:30,27,4,8.10643,15.21474,75.16500,14.00000,"(6, 14)",1,0.849
2025-06-17T14:22:32,28,4,11.22330,23.64792,99.93000,18.00000,"(5, 6)",3,1.440
2025-06-17T14:22:33,29,4,12.46088,23.09133,98.03000,18.00000,"(6, 15)",1,1.322
2025-06-17T14:22:35,30,4,14.24312,29.29310,106.73000,20.00000,"(5, 17)",1,1.170
2025-06-17T14:22:36,31,4,15.66678,24.99875,93.38500,17.00000,"(5, 5)",3,1.530
2025-06-17T14:22:38,32,4,17.22715,31.85629,108.10000,20.00000,"(5, 16)",1,1.469
2025-06-17T14:22:39,33,4,10.75567,18.86992,72.54000,13.50000,"(5, 15)",1,1.083
2025-06-17T14:22:40,34,4,10.72383,18.07231,88.88000,16.50000,"(6, 17)",1,1.089
2025-06-17T14:22:41,35,4,16.89810,30.51251,114.39000,21.00000,"(5, 9)",3,1.522
2025-06-17T14:22:43,36,4,12.97973,24.80909,98.35500,18.00000,"(5, 16)",1,1.200
2025-06-17T14:22:44,37,4,17.70983,28.56018,126.28000,23.00000,"(5, 17)",1,1.457
2025-06-17T14:22:45,38,4,9.41645,15.51864,70.21000,13.00000,"(5, 7)",3,0.967
2025-06-17T14:22:47,39,4,13.99838,27.90876,93.58000,17.00000,"(5, 7)",3,1.260
2025-06-17T14:22:48,40,4,8.15629,15.95227,93.54000,17.00000,"(6, 20)",1,1.008
2025-06-17T14:22:49,41,4,16.50776,27.40179,122.77000,23.00000,"(6, 20)",1,1.155
2025-06-17T14:22:50,42,4,11.41177,25.00115,93.54000,17.00000,"(6, 24)",1,1.438
2025-06-17T14:22:52,43,4,14.69642,29.55451,97.51500,18.00000,"(6, 20)",1,1.355
2025-06-17T14:22:53,44,4,14.17815,22.51438,96.53000,18.00000,"(6, 21)",1,1.148
2025-06-17T14:22:54,45,2,16.46010,28.77566,96.19000,18.00000,"(6, 20)",1,1.154
2025-06-17T14:22:55,46,2,16.66848,28.63010,97.04000,18.00000,"(6, 21)",1,1.396
2025-06-17T14:22:57,47,2,12.40028,22.04108,100.34000,18.50000,"(5, 9)",3,1.244
