Timestamp,Generation,NumSpecies,AvgFitness,StdFitness,BestFitness,BestGenomeSize,BestSpeciesID,GenerationTime
2025-06-16T16:38:41,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.617
2025-06-16T16:39:11,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.623
2025-06-16T16:39:16,1,1,-0.83300,0.34784,-0.24500,"(3, 1)",1,4.955
2025-06-16T16:39:21,2,1,-0.90800,0.23515,-0.62000,"(3, 1)",1,4.963
2025-06-16T16:40:31,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.615
2025-06-16T16:42:13,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.636
2025-06-16T16:49:30,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.631
2025-06-16T16:52:03,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.627
2025-06-16T16:52:49,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.622
2025-06-16T16:56:04,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.617
2025-06-16T16:56:48,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.625
2025-06-16T16:56:53,1,1,-0.72700,0.33217,-0.34500,"(3, 1)",1,4.890
2025-06-16T16:56:58,2,1,-0.85200,0.20576,-0.62000,"(3, 1)",1,4.886
2025-06-16T16:57:28,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.608
2025-06-16T16:57:33,1,1,-0.94900,0.30200,-0.34500,"(3, 1)",1,5.018
2025-06-16T17:00:31,0,1,0.66250,1.23750,1.90000,"(3, 0)",1,6.630
2025-06-16T17:01:52,0,1,0.66250,1.23750,1.90000,"(3, 0)",1,6.635
2025-06-16T17:01:57,1,1,-1.02900,0.34200,-0.34500,"(3, 1)",1,5.013
2025-06-16T17:05:05,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.628
2025-06-16T17:05:10,1,1,-0.89300,0.36910,-0.24500,"(3, 1)",1,4.961
2025-06-16T17:10:53,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.629
2025-06-16T17:10:58,1,1,-0.74700,0.36312,-0.24500,"(3, 1)",1,4.891
2025-06-16T17:19:42,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.729
2025-06-16T17:20:08,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.632
2025-06-16T17:20:48,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.617
2025-06-16T17:20:53,1,1,-0.92900,0.34200,-0.24500,"(3, 1)",1,5.017
2025-06-16T17:20:58,2,1,-1.00400,0.19200,-0.62000,"(3, 1)",1,5.021
2025-06-16T17:25:41,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.646
2025-06-16T17:26:02,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.627
2025-06-16T17:27:52,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.638
2025-06-16T17:28:23,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.625
2025-06-16T17:29:45,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.609
2025-06-16T17:55:39,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.624
2025-06-16T18:11:04,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.663
2025-06-16T18:16:34,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.634
2025-06-16T18:18:44,0,1,-0.88750,0.31250,-0.57500,"(3, 0)",1,6.619
2025-06-16T18:18:49,1,1,-0.93300,0.34784,-0.34500,"(3, 1)",1,4.960
2025-06-16T18:19:20,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.625
2025-06-16T18:19:25,1,1,-1.02900,0.34200,-0.34500,"(3, 1)",1,5.015
2025-06-16T18:21:08,0,1,-0.78750,0.31250,-0.47500,"(3, 0)",1,6.628
2025-06-16T18:21:13,1,1,-0.88300,0.39025,-0.34500,"(3, 1)",1,4.948
2025-06-16T18:21:18,2,1,-1.00800,0.23515,-0.72000,"(3, 1)",1,4.959
2025-06-16T18:22:38,0,1,-1.08125,0.10662,-0.47500,"(3, 0)",1,44.919
